,Type,Make,Gear_Type,Origin,Options,Year,Engine_Size,Mileage,Price
144,Sunny,Nissan,Automatic,Saudi,Standard,2019,1.5,38920,33500
146,Accent,Hyundai,Automatic,Saudi,Standard,2017,1.4,32000,33000
147,Fusion,Ford,Automatic,Saudi,Standard,2012,2.5,219000,14500
148,Aveo,Chevrolet,Manual,Other,Standard,2011,1.2,102000,11000
149,Sonata,Hyundai,Automatic,Saudi,Full,2020,2.5,3000,118000
155,Corolla,Toyota,Automatic,Saudi,Standard,2013,1.6,334000,36500
157,Cerato,Kia,Automatic,Saudi,Standard,2016,1.6,34000,32000
158,CX9,Mazda,Automatic,Saudi,Full,2016,2.5,229000,63000
161,Expedition,Ford,Automatic,Saudi,Semi Full,2014,5.4,151000,65000
163,Flex,Ford,Automatic,Saudi,Standard,2014,3.5,201000,57000
164,Optima,Kia,Automatic,Saudi,Full,2017,2.4,130,48000
165,Azera,Hyundai,Automatic,Saudi,Standard,2018,3.0,147000,75000
169,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,101732,61500
170,Camry,Toyota,Automatic,Gulf Arabic,Semi Full,2010,2.5,145,25000
171,Yaris,Toyota,Automatic,Saudi,Semi Full,2016,1.5,9800,32000
172,Sierra,GMC,Automatic,Saudi,Standard,2011,5.3,231000,45000
174,Durango,Dodge,Automatic,Saudi,Semi Full,2013,5.7,487100,35000
175,Corolla,Toyota,Automatic,Saudi,Standard,2017,1.6,92412,44500
178,Pick up,Others,Manual,Saudi,Full,2016,2.4,128,35000
179,Pajero,Mitsubishi,Automatic,Other,Full,2014,3.5,200000,39000
181,Charger,Dodge,Automatic,Saudi,Semi Full,2018,3.6,124000,99000
183,Sunny,Nissan,Automatic,Saudi,Standard,2018,1.5,79968,29000
184,CT-S,Cadillac,Automatic,Saudi,Full,2010,3.6,240000,32000
185,Sonata,Hyundai,Automatic,Saudi,Standard,2019,2.4,63000,60000
187,Carnival,Kia,Automatic,Saudi,Standard,2015,2.4,132000,37000
188,Tahoe,Chevrolet,Automatic,Saudi,Semi Full,2015,5.3,71000,125000
189,Sylvian Bus,Nissan,Manual,Saudi,Full,2018,3.0,3000,107000
190,ES,Lexus,Automatic,Other,Full,2016,3.5,103000,102000
191,Navigator,Others,Automatic,Saudi,Full,2013,5.7,27700,50000
192,Sierra,GMC,Automatic,Saudi,Standard,2016,5.3,205544,99500
193,Camry,Toyota,Automatic,Saudi,Standard,2017,2.5,180000,58000
195,ES,Lexus,Automatic,Gulf Arabic,Semi Full,2018,3.5,28000,122000
196,ES,Lexus,Automatic,Saudi,Semi Full,2013,2.5,239,65000
197,Opirus,Kia,Automatic,Other,Semi Full,2006,3.5,25500,14000
199,Yaris,Toyota,Automatic,Saudi,Standard,2014,1.4,201000,23000
200,Senta fe,Hyundai,Automatic,Saudi,Full,2009,2.7,260000,21000
201,Taurus,Ford,Automatic,Other,Semi Full,2018,3.5,107000,77000
202,Patrol,Nissan,Automatic,Saudi,Standard,2016,4.8,4700,88000
204,Taurus,Ford,Automatic,Saudi,Semi Full,2015,2.5,172000,52000
205,Expedition,Ford,Automatic,Saudi,Standard,2015,3.5,110790,77000
206,The 7,BMW,Automatic,Saudi,Full,2014,2.0,116000,100000
208,Camry,Toyota,Automatic,Saudi,Standard,2016,2.5,63000,58000
209,Creta,Hyundai,Automatic,Saudi,Standard,2020,1.6,16576,59500
210,CX9,Mazda,Automatic,Other,Full,2016,2.5,104000,105000
213,Expedition,Ford,Automatic,Gulf Arabic,Semi Full,2014,5.4,132000,45000
